Problem, , ,Constructive Algorithm, , ,Local Search, ,GRASP, ,Known Best Solution or Upper Bound
Name,|V| or n,|E| or m,Simple Randomized or Randomized-1,Simple Greedy or Greedy-1,Semi-Greedy-1,Simple Local or Local-1, ,GRASP-1, ,
 , , , , , ,No. of Iterations,Best Value,No. of Iterations,Best Value,
g10,800,19176,-82,1452,1411,224,1723,50,1818,1818
g11,800,1600,15,420,413,69,438,50,474,474
g12,800,1600,0,414,402,69,429,50,478,478
g13,800,1600,19,444,424,71,456,50,486,486
g14,800,4694,2352,2890,2915,104,2939,50,2985,2985
g15,800,4661,2336,2869,2892,103,2919,50,2962,2962
g16,800,4672,2330,2874,2904,104,2923,50,2966,2966
g17,800,4667,2328,2871,2897,106,2921,50,2962,2962
g18,800,4694,29,725,715,144,829,50,876,876
g19,800,4661,-56,648,619,144,743,50,797,797
g1,800,19176,9586,11084,11042,226,11355,50,11471,11471
g20,800,4672,-19,674,658,141,772,50,823,823
g21,800,4667,-35,660,635,147,763,50,834,834
g22,2000,19990,9951,12863,12750,105,13032,50,13101,13101
g23,2000,19990,9947,12761,12666,110,12945,50,13199,13199
g24,2000,19990,10012,12760,12746,99,12967,50,13201,13201
g25,2000,19990,10080,12849,12801,95,13205,50,13330,13330
g26,2000,19990,9950,12600,12586,107,12956,50,13229,13229
g27,2000,19990,-70,2589,2569,271,2678,50,2756,2756
g28,2000,19990,-10,2679,2643,301,2789,50,2834,2834
g29,2000,19990,-50,2689,2663,378,2932,50,3076,3076
g2,800,19176,9531,11300,11254,112,11989,50,12003,12003
g30,2000,19990,9,2800,2772,145,3223,50,3333,3333
g31,2000,19990,-27,2644,2623,303,2890,50,2971,2971
g32,2000,4000,42,1202,1165,155,1503,50,1505,1505
g33,2000,4000,4,1186,1153,178,1403,50,1478,1478
g34,2000,4000,16,1176,1154,189,1376,50,1451,1451
g35,2000,11778,5929,7301,7279,106,7653,50,7712,7712
g36,2000,11766,5941,7370,7354,110,7689,50,7781,7781
g37,2000,11785,5899,7452,7431,102,7576,50,7701,7701
g38,2000,11779,5934,7365,7359,99,7424,50,7591,7591
g39,2000,11778,100,2040,2032,112,2564,50,2699,2699
g3,800,19176,9571,11354,11342,104,11934,50,12045,12045
g40,2000,11766,29,2006,1979,188,2145,50,2235,2235
g41,2000,11785,5,1988,1953,169,2109,50,2223,2223
g42,2000,11779,-20,2129,2086,263,2398,50,2517,2517
g43,1000,9990,4956,6490,6331,123,6644,50,6772,6772
g44,1000,9990,5079,6377,6345,76,6612,50,6717,6717
g45,1000,9990,5063,6490,6451,69,6671,50,6801,6801
g46,1000,9990,5065,6360,6321,69,6781,50,6789,6789
g47,1000,9990,5000,6324,6292,73,6623,50,6693,6693
g48,3000,6000,2964,5836,5791,203,5913,50,5945,5945
g49,3000,6000,3025,5849,5803,224,5926,50,5977,5977
g4,800,19176,9537,11231,11189,109,11302,50,11417,11417
g50,3000,6000,3006,5880,5765,228,5919,50,5967,5967
g51,1000,5909,2953,3696,3623,55,3800,50,3971,3971
g52,1000,5916,2999,3695,3625,51,3823,50,3903,3903
g53,1000,5914,2950,3692,3637,43,3769,50,3813,3813
g54,1000,5916,2970,3716,3679,56,3851,50,3943,3943
g5,800,19176,9559,11272,11101,105,11397,50,11460,11460
g6,800,19176,0,1768,1753,210,1977,50,2001,2001
g7,800,19176,-40,1626,1587,191,1810,50,1899,1899
g8,800,19176,69,1688,1602,134,1855,50,1943,1943
g9,800,19176,69,1650,1642,139,1799,50,1869,1869
input.txt,800,19176,9559,11076,11088,243,11366,1,11383,11383
